id,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,popularity,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
76479,The Boys,4,32,en,8721,8.474,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,False,/thLAoL6VeZGmCyDpCOeoxLvA8yS.jpg,2019-07-25,2022-07-07,https://www.amazon.com/dp/B0875L45GK,True,The Boys,256.856,/7Ns6tO3aYjppI5bFhyYZurOYGBT.jpg,Scripted,Returning Series,Never meet your heroes.,"Sci-Fi & Fantasy, Action & Adventure",Eric Kripke,en,Prime Video,US,English,"Amazon Studios, Original Film, Sony Pictures Television Studios, Kripke Enterprises, Point Grey Pictures, Kickstart, NightSky Productions",United States of America,60
60625,Rick and Morty,7,71,en,8595,8.7,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",False,/9In9QgVJx7PlFOAgVHCKKSbo605.jpg,2013-12-02,2022-12-11,http://www.adultswim.com/videos/rick-and-morty,True,Rick and Morty,429.047,/cvhNj9eoRBe5SxjCbQTkh05UP5K.jpg,Scripted,Returning Series,"Science makes sense, family doesn't.","Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure","Dan Harmon, Justin Roiland",en,Adult Swim,US,English,"Williams Street, Harmonious Claptrap, Justin Roiland's Solo Vanity Card Productions, Starburns Industries, Green Portal Productions",United States of America,22
18165,The Vampire Diaries,8,171,en,8356,8.337,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",False,/k7T9xRyzP41wBVNyNeLmh8Ch7gD.jpg,2009-09-10,2017-03-10,http://www.cwtv.com/shows/the-vampire-diaries,False,The Vampire Diaries,633.313,/aBkVgChtyyJaHyZh1gfd8DbzQon.jpg,Scripted,Ended,You remember your first kiss forever... and ever.,"Drama, Sci-Fi & Fantasy","Kevin Williamson, Julie Plec",en,The CW,US,English,"Warner Bros. Television, Alloy Entertainment, Outerbanks Entertainment, Bonanza Productions, CBS Studios",United States of America,43
88396,The Falcon and the Winter Soldier,1,6,en,8008,7.693,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience.",False,/aTjbqMONy77fHJrIYu14g1F0d5h.jpg,2021-03-19,2021-04-23,https://www.disneyplus.com/series/the-falcon-and-the-winter-soldier/4gglDBMx8icA,False,The Falcon and the Winter Soldier,35.521,/6kbAMLteGO8yyewYau6bJ683sw7.jpg,Miniseries,Ended,Honor the shield.,"Action & Adventure, Drama",Malcolm Spellman,en,Disney+,US,English,Marvel Studios,United States of America,50
31910,Naruto Shippūden,20,500,ja,7712,8.6,"After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work. It will not be easy though as he has amassed a few more dangerous enemies, in the likes of the shinobi organization; Akatsuki.",False,/z0YhJvomqedHF85bplUJEotkN5l.jpg,2007-02-15,2017-03-23,http://www.tv-tokyo.co.jp/anime/naruto/,False,ナルト 疾風伝,128.823,/kV27j3Nz4d5z8u6mN3EJw9RiLg2.jpg,Scripted,Ended,,"Animation, Action & Adventure, Sci-Fi & Fantasy",,ja,TV Tokyo,JP,日本語,"TV Tokyo, Pierrot, Sound Box",Japan,25
48866,The 100,7,100,en,7666,7.916,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",False,/hTExot1sfn7dHZjGrk0Aiwpntxt.jpg,2014-03-19,2020-09-30,http://www.cwtv.com/shows/the-100/,False,The 100,127.224,/wcaDIAG1QdXQLRaj4vC1EFdBT2.jpg,Scripted,Ended,Survival isn't who you are. It's who you become.,"Sci-Fi & Fantasy, Drama, Action & Adventure",Jason Rothenberg,en,The CW,US,English,"Warner Bros. Television, Alloy Entertainment, Bonanza Productions, CBS Studios",United States of America,43
119051,Wednesday,2,8,en,7506,8.548,"Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.",False,/iHSwvRVsRyxpX7FE7GbviaDvgGZ.jpg,2022-11-23,2022-11-23,https://www.netflix.com/title/81231974,True,Wednesday,164.275,/9PFonBhy4cQy7Jz20NpMygczOkv.jpg,Scripted,Returning Series,"Smart, sarcastic and a little dead inside.","Sci-Fi & Fantasy, Mystery, Comedy","Miles Millar, Alfred Gough",en,Netflix,US,English,"MGM Television, Millar Gough Ink, Toluca Pictures",United States of America,0
1668,Friends,10,228,en,7192,8.444,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",False,/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,1994-09-22,2004-05-06,https://www.netflix.com/title/70153404,False,Friends,214.333,/f496cm9enuEsZkSPzCwnTESEK5s.jpg,Scripted,Ended,I'll be there for you,Comedy,"Marta Kauffman, David Crane",en,NBC,US,English,"Warner Bros. Television, Bright/Kauffman/Crane Productions",United States of America,25
1622,Supernatural,15,327,en,6909,8.304,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",False,/nVRyd8hlg0ZLxBn9RaI7mUMQLnz.jpg,2005-09-13,2020-11-19,,False,Supernatural,439.934,/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,Scripted,Ended,Between darkness and deliverance,"Drama, Mystery, Sci-Fi & Fantasy",Eric Kripke,en,"The WB, The CW",US,English,"Kripke Enterprises, Supernatural Films, Wonderland Sound and Vision, Warner Bros. Television",United States of America,45
81356,Sex Education,4,32,en,6647,8.304,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,False,/5SEEBS5qXgL5rgivTiAROy1Qt2q.jpg,2019-01-11,2023-09-21,https://www.netflix.com/title/80197526,False,Sex Education,1008.977,/zn6VNUOHGWKvSGRL6KiMtAe9ELy.jpg,Scripted,Ended,Growth is a group project.,"Comedy, Drama",Laurie Nunn,en,Netflix,GB,English,Eleven,United Kingdom,0
44217,Vikings,6,89,en,6385,8.086,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.",False,/lHe8iwM4Cdm6RSEiara4PN8ZcBd.jpg,2013-03-03,2020-12-30,http://www.history.com/shows/vikings,False,Vikings,294.196,/bQLrHIRNEkE3PdIWQrZHynQZazu.jpg,Scripted,Ended,,"Action & Adventure, Drama, War & Politics",Michael Hirst,en,"Prime Video, History",CA,English,"Shaw Media, World 2000 Entertainment, Take 5 Productions","Canada, Ireland",44
70523,Dark,3,26,de,6049,8.432,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.,False,/75HgaphatW0PDI3XIHQWZUpbhn6.jpg,2017-12-01,2020-06-27,https://www.netflix.com/title/80100172,False,Dark,86.861,/apbrbWs8M9lyOpJYU5WXrpFbk1Z.jpg,Scripted,Ended,Everything is connected,"Drama, Sci-Fi & Fantasy, Mystery","Baran bo Odar, Jantje Friese",de,Netflix,DE,Deutsch,Wiedemann & Berg Television,Germany,53
1408,House,8,177,en,5799,8.595,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.",False,/r0Q6eeN9L1ORL9QsV0Sg8ZV3vnv.jpg,2004-11-16,2012-05-21,https://www.nbc.com/house,False,House,239.575,/3Cz7ySOQJmqiuTdrc6CY0r65yDI.jpg,Scripted,Ended,Genius has side effects.,"Drama, Mystery",David Shore,en,FOX,US,English,"Universal Television, Bad Hat Harry Productions, Heel & Toe Films, Shore Z Productions",United States of America,44
77169,Cobra Kai,6,50,en,5734,8.22,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.",False,/zymbuoBoL1i94xAOzVJF6IuWLfD.jpg,2018-05-02,2022-09-09,https://www.netflix.com/title/81002370,True,Cobra Kai,118.256,/m7tG5E1EbywuwTsl6hq990So0Bx.jpg,Scripted,Returning Series,Cobra Kai never dies.,"Action & Adventure, Drama, Comedy","Jon Hurwitz, Hayden Schlossberg, Josh Heald",en,"Netflix, YouTube Premium",US,English,"Hurwitz & Schlossberg Productions, Sony Pictures Television Studios, Overbrook Entertainment",United States of America,30
85937,Demon Slayer: Kimetsu no Yaiba,5,55,ja,5618,8.7,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",False,/nTvM4mhqNlHIvUkI1gVnW6XP7GG.jpg,2019-04-06,2023-06-18,https://kimetsu.com/anime,True,鬼滅の刃,82.89,/xUfRZu2mi8jH6SzQEJGP6tjBuYj.jpg,Scripted,Returning Series,,"Animation, Action & Adventure, Sci-Fi & Fantasy",,ja,"Fuji TV, Gunma TV, Tokyo MX, BS11, Tokai Television Broadcasting, Kansai TV, Tochigi TV, Fukui TV, Hokkaido Cultural Broadcasting, Iwate Menkoi Television, Television Oita System, Sendai Television, SAGA TV, Ishikawa TV, Television Nishinippon, OHK, Kochi Sun Sun Broadcasting, Television Shin Hiroshima System, TV Shizuoka, UMK TV Miyazaki, NST, NBS, Sakuranbo TV, TSK, Ehime Broadcasting, KTS, Fukushima TV, NIB, AKT, Toyama Television, TV Kumamoto, Okinawa Television Broadcasting",JP,日本語,"ufotable, Aniplex, Shueisha",Japan,24
1412,Arrow,8,170,en,5569,6.793,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",False,/vNnLAKmoczRlNarxyGrrw0KSOeX.jpg,2012-10-10,2020-01-28,http://www.cwtv.com/shows/arrow,False,Arrow,174.419,/gKG5QGz5Ngf8fgWpBsWtlg5L2SF.jpg,Scripted,Ended,Heroes fall. Legends rise.,"Crime, Drama, Mystery, Action & Adventure","Greg Berlanti, Marc Guggenheim, Andrew Kreisberg",en,The CW,US,English,"Berlanti Productions, DC Entertainment, Warner Bros. Television",United States of America,42
1429,Attack on Titan,4,87,ja,5492,8.657,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.",False,/rqbCbjB19amtOtFQbb3K2lgm2zv.jpg,2013-04-07,2022-04-04,https://shingeki.tv/,True,進撃の巨人,55.416,/8C5gYahMFmzHKGNID8QrG5t25WU.jpg,Scripted,Returning Series,,"Sci-Fi & Fantasy, Animation, Action & Adventure",,ja,"MBS, NHK G, Tokyo MX",JP,日本語,"Production I.G, MAPPA, WIT STUDIO, Pony Canyon, Techno Sound, Kodansha, dentsu, MBS, Pony Canyon Enterprise",Japan,0
87108,Chernobyl,1,5,en,5376,8.649,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,False,/20eIP9o5ebArmu2HxJutaBjhLf4.jpg,2019-05-06,2019-06-03,https://www.hbo.com/chernobyl,False,Chernobyl,67.445,/hlLXt2tOPT6RRnjiUmoxyG1LTFi.jpg,Miniseries,Ended,What is the cost of lies?,Drama,Craig Mazin,en,HBO,US,English,"SISTER, The Mighty Mint, Word Games","United Kingdom, United States of America",0
1413,American Horror Story,12,130,en,5198,8.145,"An anthology horror drama series centering on different characters and locations, including a house with a murderous past, an asylum, a witch coven, a freak show, a hotel, a farmhouse in Roanoke, a cult, the apocalypse and a summer camp.",False,/a4doyPOabvQor0RGkWdhVENAR3G.jpg,2011-10-05,2023-09-27,https://www.fxnetworks.com/shows/american-horror-story,True,American Horror Story,254.735,/5LLG9bjq0i7V5N4UfRhnab8zHK4.jpg,Scripted,Returning Series,What to suspect when you're expecting.,"Drama, Mystery, Sci-Fi & Fantasy","Ryan Murphy, Brad Falchuk",en,FX,US,English,"Ryan Murphy Productions, Brad Falchuk Teley-vision, 20th Television, 20th Century Fox Television, Anthony Hemingway Productions",United States of America,0
46260,Naruto,4,220,ja,5189,8.36,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",False,/9fwJ5ZOF14XjxDsIPDvEvnIo9r0.jpg,2002-10-03,2007-02-08,http://www.tv-tokyo.co.jp/anime/naruto2002/,False,ナルト,135.573,/5YW0RIlVAhyp3pGtugyNuvk2TWT.jpg,Scripted,Ended,,"Animation, Action & Adventure, Sci-Fi & Fantasy",,ja,TV Tokyo,JP,日本語,"Pierrot, Sound Box",Japan,24
